"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","@GrindLinePod A good example is the common cold or the flu, you never get the exact same virus but there are many d… https://t.co/uAdtUU5U7b",FALSE,0,"JakeHelms5",2019-03-05 19:03:59,TRUE,"1103008044173144064","1103008271005294592","731671239232749568","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JakeHelms5",0,FALSE,FALSE,NA,NA
"19","The Top 20 Natural Remedies for Cold and Flu https://t.co/qkbBZXnevY https://t.co/aYdgB61SWR",FALSE,0,NA,2019-03-05 18:59:45,FALSE,NA,"1103007206000091141",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","polooycom",0,FALSE,FALSE,NA,NA
"20","RT @ThePedsNinja: Winter is here! Be prepared with the Cold and Flu Survival Guide https://t.co/NtxKqxhRHd
#Parenting #coldandflu #SoMeDocs…",FALSE,0,NA,2019-03-05 18:59:21,FALSE,NA,"1103007104288329728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","somedocs",0,TRUE,FALSE,NA,NA
"21","@Saultoodope69 Get the mucinex severe cold and flu day and night package! Life saver",FALSE,0,"Saultoodope69",2019-03-05 18:59:13,FALSE,"1102870667106512896","1103007070515716096","1977375002","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaneelTouma",0,FALSE,FALSE,NA,NA
"22","Is It a Cold, the Flu, or an Iron Rod Driven Through Your Skull in a Freak Accident?
https://t.co/fckoEo6wH1 https://t.co/O1WZ5YAGe8",FALSE,1,NA,2019-03-05 18:58:04,FALSE,NA,"1103006782664794112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realdumbrunner",0,FALSE,FALSE,NA,NA
"23","@nowthisisliving I haven't had the flu in years. Although I live in chicago and it's 15  degrees right now so I'm s… https://t.co/dHVlcsXZnN",FALSE,0,"nowthisisliving",2019-03-05 18:57:43,TRUE,"1103004314979594245","1103006693187760128","340035311","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Luluduggs",0,FALSE,FALSE,NA,NA
"24","RT @RexHealthcare: Follow these simple tips to help avoid catching a #cold or the #flu while flying on a plane or visiting an airport. #tra…",FALSE,0,NA,2019-03-05 18:53:51,FALSE,NA,"1103005719471816709",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nchospitals",1,TRUE,FALSE,NA,NA
"25","RT @PoisonIffy: In honor of cold and flu season https://t.co/M2kVxXjfhV",FALSE,0,NA,2019-03-05 18:37:49,FALSE,NA,"1103001686363144192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StudiosShelly",1,TRUE,FALSE,NA,NA
"26","@p_jeanne97 @jaketapper Down the rabbit hole...the community is always affected by personal health decisions. You e… https://t.co/ef7Kj16W4Y",FALSE,0,"p_jeanne97",2019-03-05 18:37:45,TRUE,"1102965022337236993","1103001668730449920","402136461","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tiffanymkj",0,FALSE,FALSE,NA,NA
"27","@KPRC2Vincent 
@Esther188rod 
THANK YOU VINCENT <U+0001F397><U+FE0F>
TAKE CARE IT'S STILL
COLD HAVE YOU HAD
YOUR FLU SHOT HOPE
SO GOD… https://t.co/sworU0kFHz",FALSE,1,"KPRC2Vincent",2019-03-05 18:36:54,TRUE,NA,"1103001455114412038","1495133971","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Esther188rod",0,FALSE,FALSE,NA,NA
"28","RT @PavilionVitamin: Natura Health Products offer The ultimate synergy of botanical and nutritional medicine herbal formulas target cold an…",FALSE,0,NA,2019-03-05 18:24:57,FALSE,NA,"1102998448419360769",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","deann_native",1,TRUE,FALSE,NA,NA
